CLASS,PERCENTAGE
no-mask,99.00948405265808
with-mask,93.20271015167236
no-mask,98.7078845500946
with-mask,95.23778557777405
with-mask,94.56806778907776
no-mask,98.66014122962952
no-mask,98.88830184936523
with-mask,95.73702216148376
no-mask,98.85361790657043
with-mask,96.0613489151001
no-mask,98.65838885307312
with-mask,95.54232954978943
no-mask,93.90348196029663
with-mask,95.74048519134521
with-mask,94.09482479095459
with-mask,94.7855293750763
with-mask,93.68327260017395
no-mask,51.53346657752991
with-mask,89.28982615470886
half-mask,64.87475633621216
with-mask,86.96455955505371
half-mask,67.07646250724792
with-mask,83.24975967407227
half-mask,67.07080006599426
with-mask,85.40896773338318
half-mask,71.0692822933197
with-mask,93.33223104476929
half-mask,66.47966504096985
with-mask,94.60275769233704
half-mask,64.44845199584961
with-mask,92.49879717826843
with-mask,91.87564849853516
half-mask,56.470996141433716
with-mask,88.54893445968628
half-mask,61.32475733757019
with-mask,92.00103282928467
half-mask,50.642746686935425
with-mask,92.23775267601013
with-mask,64.66144323348999
half-mask,61.30481958389282
with-mask,95.95253467559814
with-mask,60.480546951293945
with-mask,93.06589961051941
with-mask,58.57999324798584
with-mask,92.73822903633118
half-mask,53.13449501991272
with-mask,58.04983973503113
half-mask,53.65564227104187
half-mask,87.18155026435852
with-mask,54.09838557243347
half-mask,83.82309675216675
no-mask,98.85846972465515
half-mask,78.08707356452942
no-mask,98.77060651779175
half-mask,83.38261246681213
half-mask,87.51183152198792
no-mask,98.55549931526184
no-mask,98.88217449188232
half-mask,88.1150484085083
no-mask,98.73595833778381
half-mask,93.42211484909058
no-mask,98.70498180389404
half-mask,91.10453128814697
no-mask,98.9534318447113
half-mask,94.46119666099548
no-mask,98.62946271896362
half-mask,96.28505110740662
no-mask,98.53807091712952
half-mask,96.38555645942688
no-mask,98.31386208534241
half-mask,96.52435779571533
half-mask,96.82618975639343
no-mask,98.3114242553711
half-mask,96.09811902046204
no-mask,98.61618280410767
half-mask,97.0610499382019
no-mask,98.48307371139526
half-mask,95.92457413673401
no-mask,98.28095436096191
half-mask,94.21219229698181
no-mask,98.59712719917297
no-mask,98.25407862663269
half-mask,89.6241307258606
half-mask,88.33633065223694
no-mask,97.83819913864136
half-mask,71.09822630882263
no-mask,98.58036041259766
half-mask,84.80470776557922
no-mask,98.59285354614258
with-mask,86.15102767944336
no-mask,98.39031100273132
with-mask,81.98043704032898
no-mask,97.4413812160492
with-mask,79.44057583808899
no-mask,98.67039322853088
with-mask,88.47663402557373
no-mask,98.1519341468811
with-mask,86.8922472000122
no-mask,98.78685474395752
with-mask,79.56556677818298
no-mask,98.53163361549377
with-mask,85.1620614528656
no-mask,98.14285635948181
with-mask,61.55930161476135
no-mask,98.32846522331238
no-mask,98.72385859489441
with-mask,79.23210859298706
with-mask,78.07523012161255
no-mask,98.63287806510925
no-mask,97.07077145576477
with-mask,56.76448941230774
no-mask,82.20052719116211
with-mask,85.63874363899231
no-mask,98.66425395011902
no-mask,98.19022417068481
with-mask,87.53189444541931
with-mask,85.47002077102661
no-mask,98.77349734306335
with-mask,89.63228464126587
no-mask,98.6576795578003
