CLASS,PERCENTAGE
no-mask,97.93899059295654
half-mask,54.024308919906616
no-mask,97.92580008506775
half-mask,51.46214962005615
no-mask,98.1508195400238
half-mask,53.38748097419739
no-mask,98.13640713691711
half-mask,51.81407928466797
no-mask,98.23219180107117
half-mask,53.80818247795105
no-mask,98.19103479385376
half-mask,55.213481187820435
no-mask,98.18246364593506
half-mask,53.167134523391724
no-mask,98.30574989318848
half-mask,51.15119218826294
no-mask,98.32693338394165
half-mask,51.193517446517944
no-mask,98.3743667602539
half-mask,52.367186546325684
no-mask,98.38996529579163
half-mask,49.240842461586
no-mask,98.480623960495
half-mask,51.00798010826111
no-mask,98.00915122032166
no-mask,98.03560972213745
no-mask,94.81368064880371
no-mask,98.73076677322388
no-mask,96.40849232673645
no-mask,95.62148451805115
no-mask,95.60938477516174
no-mask,95.27519941329956
no-mask,95.31424045562744
no-mask,94.34967637062073
no-mask,94.3234384059906
no-mask,94.32359337806702
no-mask,94.0746545791626
no-mask,94.67214941978455
no-mask,96.35939598083496
no-mask,97.60606288909912
no-mask,97.57848978042603
no-mask,97.34432697296143
no-mask,97.43838310241699
no-mask,97.09690809249878
no-mask,97.36930131912231
no-mask,97.16286063194275
no-mask,97.25438952445984
no-mask,97.26750254631042
no-mask,97.06006050109863
no-mask,97.07092046737671
no-mask,97.23163843154907
no-mask,97.20378518104553
no-mask,97.20942974090576
no-mask,97.1508800983429
no-mask,97.12128043174744
no-mask,97.11082577705383
no-mask,97.15327024459839
no-mask,97.17382788658142
no-mask,97.12214469909668
no-mask,97.09285497665405
no-mask,97.09182977676392
no-mask,96.8872606754303
no-mask,96.87042832374573
no-mask,97.04773426055908
no-mask,97.1655786037445
no-mask,97.0649778842926
no-mask,97.50897884368896
no-mask,97.0973789691925
no-mask,97.0906913280487
no-mask,96.90089821815491
no-mask,96.97864651679993
no-mask,96.84079885482788
no-mask,97.08973169326782
no-mask,97.15016484260559
no-mask,97.06063866615295
no-mask,96.83472514152527
no-mask,96.88785672187805
no-mask,96.74075245857239
no-mask,96.20229601860046
no-mask,96.16492986679077
no-mask,96.29861116409302
no-mask,96.38203978538513
no-mask,96.98770642280579
no-mask,97.19504117965698
no-mask,97.37251996994019
no-mask,97.68278002738953
no-mask,97.79099822044373
no-mask,97.62269854545593
no-mask,97.7587103843689
no-mask,97.2852110862732
no-mask,97.33945727348328
no-mask,96.83886766433716
no-mask,97.2636342048645
no-mask,97.3986029624939
no-mask,97.73715138435364
no-mask,97.59250283241272
no-mask,98.54927659034729
no-mask,98.31480979919434
no-mask,97.7617084980011
no-mask,97.77160286903381
no-mask,97.78130054473877
no-mask,97.64825105667114
no-mask,97.19489216804504
no-mask,96.55705690383911
no-mask,96.67699337005615
no-mask,96.56223058700562
no-mask,96.69702649116516
half-mask,34.292322397232056
no-mask,96.48985862731934
no-mask,97.45511412620544
no-mask,97.41999506950378
no-mask,97.15033769607544
no-mask,97.09148406982422
no-mask,97.36433625221252
no-mask,97.5376844406128
no-mask,97.59153723716736
no-mask,97.43689894676208
no-mask,97.6000964641571
no-mask,97.9343831539154
no-mask,98.22821617126465
no-mask,98.28096032142639
no-mask,98.25899600982666
no-mask,98.35900068283081
no-mask,98.26385974884033
no-mask,98.31827282905579
no-mask,97.90433645248413
no-mask,97.91021347045898
no-mask,97.8649377822876
no-mask,97.76586890220642
no-mask,97.78810143470764
no-mask,97.75382280349731
no-mask,97.68357872962952
no-mask,97.83771634101868
no-mask,98.0912446975708
no-mask,98.25112223625183
no-mask,98.1498658657074
no-mask,98.15005660057068
no-mask,98.22378754615784
no-mask,98.28017354011536
no-mask,98.19865226745605
no-mask,98.20753931999207
no-mask,98.18762540817261
no-mask,98.08292388916016
no-mask,97.98896908760071
no-mask,97.94244170188904
no-mask,97.93503284454346
no-mask,97.94989824295044
no-mask,97.8893518447876
no-mask,98.1477677822113
no-mask,98.22242259979248
no-mask,98.20095300674438
no-mask,98.27978014945984
no-mask,98.33073019981384
no-mask,98.44297766685486
no-mask,98.44629168510437
no-mask,98.454749584198
no-mask,98.38175177574158
no-mask,98.55068325996399
no-mask,98.21596145629883
no-mask,96.71415686607361
no-mask,96.19676470756531
no-mask,96.1814284324646
no-mask,96.36867046356201
no-mask,96.38182520866394
no-mask,95.09997367858887
no-mask,96.53422236442566
no-mask,96.66677713394165
no-mask,97.61849045753479
no-mask,97.86872863769531
no-mask,98.09094071388245
no-mask,98.2231080532074
no-mask,98.29360246658325
no-mask,97.93192148208618
no-mask,97.82882928848267
no-mask,97.73169755935669
no-mask,97.79962301254272
no-mask,97.7918803691864
no-mask,97.81916737556458
no-mask,97.70570397377014
no-mask,97.85142540931702
no-mask,97.50774502754211
no-mask,97.36961126327515
no-mask,97.13968634605408
no-mask,97.09137082099915
no-mask,97.18242287635803
no-mask,97.1696138381958
no-mask,97.22733497619629
no-mask,97.15117812156677
no-mask,97.14125394821167
no-mask,97.20856547355652
no-mask,97.14801907539368
no-mask,97.1885085105896
no-mask,97.3251461982727
no-mask,97.61741161346436
no-mask,97.61103987693787
